name,id,template,numeric_id,intro_year,intro_month,year_order,enable_param,Type,roadtype,top_speed,model_life,vehicle_life,loading_speed,weight,power,reliability,capacity,running_cost_bias,engine,smoke_location,text,has_flatbed,has_covered_goods,has_alternate_goods,has_year_dependent_cargo,has_open_livestock,has_piece_goods_tanker,has_alternate_livery,trailer,custom_cargo_aging,limiter_speed,articulated_graphics,articulated_visual_effects,articulated_capacities,articulated_configuration,articulated_lengths,layout,ttd_len,is_tram,horse_type,cost,run_cost_modifier,running_cost,kmish_speed,kmish_limiter_speed,cars,articulated_units,virtual_units,capacity_per_unit,capacity_per_trailer,length,width,height,voxel_size,notes
1 Horse,horse,horses,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
2 Horses,horses,horses,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Tram Trailer,tram_trailer,trailer,0,,,,,,,,,,,,,,,,,,,yes,,yes,yes,,,,,,,,,,,,tram_trailer_goods,5,,,,,,,,,,,,,,,,,
Horse-Drawn Wagons,horse_wagons,articulated_lorry,10721,1790,1,1,enable_trams,Cargo Tram,RAIL,18,110,12,5,2,15,20,24,1,horse,0,Horse drawn cargo tramway systems were the precursor to modern railways.,yes,,yes,yes,,,,tram_trailer,,,,,,"1,2,3","5,5,5","horses,tram_trailer_flatbed,tram_trailer_goods",5,1,horses,15,,17,15,0,2,3,3,8,12,,,,0x0x0,
Y6 0-4-0,y6,articulated_lorry,10907,1883,1,1,enable_trams,Cargo Tram,RAIL,22,30,30,5,19,50,20,36,1,steam,-1,The Y6 steam tram was designed for running on public roads.,yes,,yes,yes,,,,tram_trailer,,,,1,,"1,2,3,4","4,5,5,5","y6,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed",4,1,,36,,32,18,0,3,4,4,9,12,6,,,56x0x0,
J70 0-6-0,j70,articulated_lorry,11031,1903,1,1,enable_trams,Cargo Tram,RAIL,22,30,30,5,24,60,20,60,1,steam,-1,The J70 steam tram was a more powerful version of the Y6 designed to handle more cargo.,yes,,yes,yes,,,,tram_trailer,,,,1,,"1,2,3,4,5,6","4,5,5,5,5,5","j70,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed",4,1,,46,,40,18,0,5,6,6,10,12,6,,,56x0x0,
"Y10 ""Super Sentinel""",y10,articulated_lorry,11301,1930,9,1,enable_trams,Cargo Tram,RAIL,24,32,26,5,24,200,20,60,1,steam,0,This Sentinel tram engine had two engines and a two-speed gearbox.,yes,,yes,yes,,,,tram_trailer,,,,1,,"1,2,3,4,5,6","5,5,5,5,5,5","y10,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed",5,1,,47,,54,19,0,5,6,6,10,12,7,,,65x0x0,
FC Hibberd Planet,fc_hibberd_planet,articulated_lorry,11481,1948,1,1,enable_trams,Cargo Tram,RAIL,25,-1,30,5,22,123,20,60,1,diesel,-1,"FC Hibberd built many different types of locomotive under the ""Planet"" nameplate, often using a Dorman engine.",yes,,yes,yes,,,,tram_trailer,,,,1,,"1,2,3,4,5,6","4,5,5,5,5,5","fc_hibberd_planet,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed",4,1,,49,,51,20,0,5,6,6,10,12,6,,,56x0x0,
Drewry Shunter,drewry_shunter,articulated_lorry,11522,1952,1,2,enable_trams,Cargo Tram,RAIL,27,-1,26,5,31,152,20,60,1,diesel,-1,Diesel shunters with special tramway adaptations were used to replace steam trams in East Anglia.,yes,,yes,yes,,,,tram_trailer,,,,1,,"1,2,3,4,5,6","5,5,5,5,5,5","drewry_shunter,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed",5,1,,50,,56,22,0,5,6,6,10,12,7,,,65x0x0,
Prewar Trailer,prewar_trailer,trailer,0,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,prewar_trailer_flatbed,8,,,,,,,,,,,,,,,,,
